""," Set9_01_A01_S1_L005_R1_001.fastq.gz.csv"," Set9_01_A02_S2_L005_R1_001.fastq.gz.csv"," Set9_01_A03_S3_L005_R1_001.fastq.gz.csv"," Set9_01_A04_S4_L005_R1_001.fastq.gz.csv"," Set9_01_A05_S5_L005_R1_001.fastq.gz.csv"
"ANPEP.01",91,808,105,7154,5169
"ANPEP.02",203,2821,150,10576,7572
"ANTXR1.01",41,359,42,2408,1539
"ANTXR1.04",47,1077,34,727,992
"ANTXR1.10",55,654,43,3422,1252
"AXL.01",158,743,139,8219,8352
"AXL.02",114,587,150,7517,5489
"AXL.03",137,946,162,8781,8686
"AXL.04",0,0,0,0,0
"CD38.01",64,603,65,3663,3425
"CD38.02",58,189,89,4016,2607
"CD55.03",1672,1989,1753,1467,1502
"CD55.04",9,109,12,193,168
"CD59.01",96,376,146,8040,7584
"CD59.02",43,179,80,2930,3278
"CD59.03",57,202,110,5548,3828
"CDCP1.01",14514,12920,9389,17659,16379
"CDCP1.03",773,13998,558,14211,8332
"CDCP1.04",394,7548,254,5124,4614
"CSF1R.01",59,310,47,4167,2395
"CSF1R.02",164,3198,138,11785,6413
"CXADR.03",220,4113,166,9343,6482
"CXADR.05",202,3943,161,10738,6359
"CXADR.17",269,7892,164,9593,5365
"CXADR.22",204,3232,155,11622,6277
"DDR1.01",152,1825,117,5473,3668
"DDR2.01",0,0,0,0,0
"EGFR.01",335,5062,268,14103,7446
"EPHA1.04",8,43,7,351,2
"EPHA10.01",0,4,0,0,0
"EPHA10.02",0,0,0,0,0
"EPHA10.03",0,0,0,0,0
"EPHA2.01",0,0,0,0,0
"EPHA2.02",0,0,0,0,0
"EPHA2.04",0,0,0,0,0
"EPHA4.01",1608,10924,1360,112247,89886
"EPHA4.02",0,3,0,0,0
"EPHA4.03",0,0,0,0,0
"EPHA4.04",0,9,0,0,0
"EPHA5.02",0,2,0,114,1
"EPHA5.03",0,4,1,0,0
"EPHA5.04",0,0,0,0,0
"EPHA6.01",2,10,2,1,136
"EPHA6.02",1,13,0,0,0
"EPHA6.03",0,0,0,0,0
"EPHA6.04",0,5,1,39,0
"EPHA7.01",1,51,3,6,176
"EPHA7.02",0,0,0,0,0
"EPHA7.03",0,0,0,0,0
"EPHA7.04",0,4,0,0,0
"EPHA8.01",1,12,2,1,79
"EPHB2.01",4,24,3,189,2
"EPHB2.03",0,0,0,0,0
"EPHB3.01",0,0,0,0,0
"EPHB3.02",0,0,0,0,0
"EPHB3.03",0,0,0,0,0
"EPHB3.04",0,0,0,0,0
"EPHB4.01",0,0,0,0,0
"EPHB4.02",0,0,0,0,0
"EPHB4.03",27,1026,9,932,717
"EPHB6.01",7,46,5,615,81
"EPHB6.02",2,114,3,2,42
"FGFR1b.01",0,28,0,0,0
"FGFR2.01",0,1,0,0,0
"FGFR2.02",0,0,0,0,0
"FGFR2.03",0,0,0,0,0
"FGFR2b.01",0,0,0,0,0
"FGFR2b.02",0,0,0,0,0
"FGFR2c.01",0,1,0,0,0
"FGFR2c.02",0,1,0,0,0
"FGFR4.01",19,55,31,1211,942
"FGFR4.02",53,145,82,3491,3308
"FGFR4.03",0,0,0,0,0
"FGFR4.04",0,0,0,0,0
"FLT3.01",273,3868,170,12034,7194
"FLT3.02",64,675,77,4475,4049
"FLT3.03",35,119,68,2597,2808
"FLT3.04",11,16,12,28,22
"ICAM1.10",85,288,91,7049,4614
"ICAM1.13",146,5055,125,10485,5917
"ICAM1.20",242,4797,185,12101,8332
"INSR.01",30,113,66,1325,923
"INSR.02",1,4,0,0,18
"INSR.03",0,2,1,0,1
"KIT.01",0,0,0,0,0
"KIT.02",0,0,0,0,0
"LTBR.01",35,205,73,3007,2379
"LTBR.02",0,0,0,0,0
"LTBR.03",58,194,79,3555,2208
"MER.01",0,3,0,0,0
"MER.02",1,1,0,0,0
"MER.03",0,0,0,0,0
"MER.04",0,0,0,0,0
"MET.01",0,0,0,0,0
"MET.02",0,0,0,0,0
"MET.03",0,0,0,0,0
"MET.04",0,0,0,0,0
"NCR3LG1.01",147,1410,115,7548,3744
"NCR3LG1.05",0,0,0,0,0
"NCR3LG1.06",68,526,66,2884,2084
"NCR3LG1.07",0,0,0,0,0
"NCR3LG1.12",130,640,110,6240,5366
"NCR3LG1.13",0,0,0,0,0
"NCR3LG1.14",140,1592,108,8054,4383
"NCR3LG1.15",0,0,0,0,0
"NCR3LG1.16",0,0,0,0,0
"NECTIN1.03",35,207,59,1946,1611
"NECTIN1.04",79,541,84,6123,4611
"NECTIN1.13",104,549,137,8234,6595
"NECTIN1.14",234,3746,161,10147,6928
"NTRK1.01",0,2,0,0,0
"NTRK1.03",0,0,0,0,0
"NTRK1.04",0,6,1,0,0
"NTRK2.01",0,0,0,0,0
"NTRK2.02",0,0,0,0,0
"NTRK2.03",0,0,0,0,0
"NTRK2.04",0,0,0,0,0
"NTRK3.01",0,1,0,0,0
"NTRK3.02",96,917,96,4359,4298
"NTRK3.03",0,2,1,34,1
"PDGFRA.01",0,0,0,0,0
"PDGFRA.02",0,0,0,0,0
"PDGFRA.03",0,0,0,0,0
"PDGFRA.04",0,0,0,0,0
"PDGFRB.01",79,1489,64,5859,2639
"PDGFRB.02",177,3892,149,6756,6131
"PDGFRB.03",110,974,113,8198,5532
"PDGFRB.04",0,0,0,0,0
"PTK7.01",0,0,0,0,0
"PTK7.02",129,1490,137,6097,5126
"PTK7.03",209,4110,138,8568,6846
"PTK7.04",0,0,0,0,0
"RET.01",0,0,0,0,0
"RET.02",0,0,0,0,0
"RON.01",155,1887,115,6197,3720
"RON.02",0,0,0,0,0
"RON.03",0,0,2,0,0
"RON.04",121,1712,82,5589,4992
"ROR1.01",0,0,0,0,0
"ROR1.02",68,152,90,6311,5502
"ROR1.03",0,0,0,0,0
"ROR1.04",124,1915,108,6108,3152
"ROR1.05",0,0,0,0,0
"ROR1.09",0,0,0,0,0
"ROR1.10",380,3263,343,22377,15348
"ROR1.11",0,0,0,0,0
"ROR1.12",0,0,0,0,0
"ROR1.13",0,0,0,0,0
"ROR1.14",0,0,0,0,0
"ROR1.15",83,691,161,6876,4861
"ROR1.16",0,0,0,0,0
"RYK.01",88,1434,82,5078,3586
"TIE1.01",0,0,0,0,0
"TIE1.02",43,459,46,952,482
"TIE1.03",154,3239,110,8485,6466
"TIE2.01",6,12,18,20,20
"TIE2.02",130,847,102,7672,3720
"TIE2.03",189,7984,92,3114,1538
"TIE2.04",230,3580,181,12170,6891
"TYRO3.02",54,192,71,4609,3795
"TYRO3.03",0,1,2,0,1
"TYRO3.04",0,0,0,0,0
"VEGFR2.01",0,0,0,0,0
"VEGFR2.02",0,0,0,0,0
"VEGFR2.03",234,8926,166,12132,6930
"VEGFR2.04",0,0,0,0,0
"VEGFR3.01",0,0,0,0,0
"VEGFR3.02",0,0,0,0,0
"VEGFR3.03",0,0,0,0,0
"VEGFR3.04",0,0,0,0,0
"GFP.01",2958,2803,2069,3213,2903
"GFP.02",188,3350,169,8560,6622
"GFP.03",0,0,0,0,0
"SMARCC2.01",0,0,0,0,0
"TRAlpha.01",202,1806,177,9642,8064
"ZNF2.01",173,4751,119,5632,2655
"ZNF18.01",63,508,90,3485,1608
