"","V1","V2"
"1","ANPEP.01","7154"
"2","ANPEP.02","10576"
"3","ANTXR1.01","2408"
"4","ANTXR1.04","727"
"5","ANTXR1.10","3422"
"6","AXL.01","8219"
"7","AXL.02","7517"
"8","AXL.03","8781"
"9","AXL.04","AXL.04"
"10","CD38.01","3663"
"11","CD38.02","4016"
"12","CD55.03","1467"
"13","CD55.04","193"
"14","CD59.01","8040"
"15","CD59.02","2930"
"16","CD59.03","5548"
"17","CDCP1.01","17659"
"18","CDCP1.03","14211"
"19","CDCP1.04","5124"
"20","CSF1R.01","4167"
"21","CSF1R.02","11785"
"22","CXADR.03","9343"
"23","CXADR.05","10738"
"24","CXADR.17","9593"
"25","CXADR.22","11622"
"26","DDR1.01","5473"
"27","DDR2.01","DDR2.01"
"28","EGFR.01","14103"
"29","EPHA1.04","351"
"30","EPHA10.01","EPHA10.01"
"31","EPHA10.02","EPHA10.02"
"32","EPHA10.03","EPHA10.03"
"33","EPHA2.01","EPHA2.01"
"34","EPHA2.02","EPHA2.02"
"35","EPHA2.04","EPHA2.04"
"36","EPHA4.01","112247"
"37","EPHA4.02","EPHA4.02"
"38","EPHA4.03","EPHA4.03"
"39","EPHA4.04","EPHA4.04"
"40","EPHA5.02","114"
"41","EPHA5.03","EPHA5.03"
"42","EPHA5.04","EPHA5.04"
"43","EPHA6.01","1"
"44","EPHA6.02","EPHA6.02"
"45","EPHA6.03","EPHA6.03"
"46","EPHA6.04","39"
"47","EPHA7.01","6"
"48","EPHA7.02","EPHA7.02"
"49","EPHA7.03","EPHA7.03"
"50","EPHA7.04","EPHA7.04"
"51","EPHA8.01","1"
"52","EPHB2.01","189"
"53","EPHB2.03","EPHB2.03"
"54","EPHB3.01","EPHB3.01"
"55","EPHB3.02","EPHB3.02"
"56","EPHB3.03","EPHB3.03"
"57","EPHB3.04","EPHB3.04"
"58","EPHB4.01","EPHB4.01"
"59","EPHB4.02","EPHB4.02"
"60","EPHB4.03","932"
"61","EPHB6.01","615"
"62","EPHB6.02","2"
"63","FGFR1b.01","FGFR1b.01"
"64","FGFR2.01","FGFR2.01"
"65","FGFR2.02","FGFR2.02"
"66","FGFR2.03","FGFR2.03"
"67","FGFR2b.01","FGFR2b.01"
"68","FGFR2b.02","FGFR2b.02"
"69","FGFR2c.01","FGFR2c.01"
"70","FGFR2c.02","FGFR2c.02"
"71","FGFR4.01","1211"
"72","FGFR4.02","3491"
"73","FGFR4.03","FGFR4.03"
"74","FGFR4.04","FGFR4.04"
"75","FLT3.01","12034"
"76","FLT3.02","4475"
"77","FLT3.03","2597"
"78","FLT3.04","28"
"79","ICAM1.10","7049"
"80","ICAM1.13","10485"
"81","ICAM1.20","12101"
"82","INSR.01","1325"
"83","INSR.02","INSR.02"
"84","INSR.03","INSR.03"
"85","KIT.01","KIT.01"
"86","KIT.02","KIT.02"
"87","LTBR.01","3007"
"88","LTBR.02","LTBR.02"
"89","LTBR.03","3555"
"90","MER.01","MER.01"
"91","MER.02","MER.02"
"92","MER.03","MER.03"
"93","MER.04","MER.04"
"94","MET.01","MET.01"
"95","MET.02","MET.02"
"96","MET.03","MET.03"
"97","MET.04","MET.04"
"98","NCR3LG1.01","7548"
"99","NCR3LG1.05","NCR3LG1.05"
"100","NCR3LG1.06","2884"
"101","NCR3LG1.07","NCR3LG1.07"
"102","NCR3LG1.12","6240"
"103","NCR3LG1.13","NCR3LG1.13"
"104","NCR3LG1.14","8054"
"105","NCR3LG1.15","NCR3LG1.15"
"106","NCR3LG1.16","NCR3LG1.16"
"107","NECTIN1.03","1946"
"108","NECTIN1.04","6123"
"109","NECTIN1.13","8234"
"110","NECTIN1.14","10147"
"111","NTRK1.01","NTRK1.01"
"112","NTRK1.03","NTRK1.03"
"113","NTRK1.04","NTRK1.04"
"114","NTRK2.01","NTRK2.01"
"115","NTRK2.02","NTRK2.02"
"116","NTRK2.03","NTRK2.03"
"117","NTRK2.04","NTRK2.04"
"118","NTRK3.01","NTRK3.01"
"119","NTRK3.02","4359"
"120","NTRK3.03","34"
"121","PDGFRA.01","PDGFRA.01"
"122","PDGFRA.02","PDGFRA.02"
"123","PDGFRA.03","PDGFRA.03"
"124","PDGFRA.04","PDGFRA.04"
"125","PDGFRB.01","5859"
"126","PDGFRB.02","6756"
"127","PDGFRB.03","8198"
"128","PDGFRB.04","PDGFRB.04"
"129","PTK7.01","PTK7.01"
"130","PTK7.02","6097"
"131","PTK7.03","8568"
"132","PTK7.04","PTK7.04"
"133","RET.01","RET.01"
"134","RET.02","RET.02"
"135","RON.01","6197"
"136","RON.02","RON.02"
"137","RON.03","RON.03"
"138","RON.04","5589"
"139","ROR1.01","ROR1.01"
"140","ROR1.02","6311"
"141","ROR1.03","ROR1.03"
"142","ROR1.04","6108"
"143","ROR1.05","ROR1.05"
"144","ROR1.09","ROR1.09"
"145","ROR1.10","22377"
"146","ROR1.11","ROR1.11"
"147","ROR1.12","ROR1.12"
"148","ROR1.13","ROR1.13"
"149","ROR1.14","ROR1.14"
"150","ROR1.15","6876"
"151","ROR1.16","ROR1.16"
"152","RYK.01","5078"
"153","TIE1.01","TIE1.01"
"154","TIE1.02","952"
"155","TIE1.03","8485"
"156","TIE2.01","20"
"157","TIE2.02","7672"
"158","TIE2.03","3114"
"159","TIE2.04","12170"
"160","TYRO3.02","4609"
"161","TYRO3.03","TYRO3.03"
"162","TYRO3.04","TYRO3.04"
"163","VEGFR2.01","VEGFR2.01"
"164","VEGFR2.02","VEGFR2.02"
"165","VEGFR2.03","12132"
"166","VEGFR2.04","VEGFR2.04"
"167","VEGFR3.01","VEGFR3.01"
"168","VEGFR3.02","VEGFR3.02"
"169","VEGFR3.03","VEGFR3.03"
"170","VEGFR3.04","VEGFR3.04"
"171","GFP.01","3213"
"172","GFP.02","8560"
"173","GFP.03","GFP.03"
"174","SMARCC2.01","SMARCC2.01"
"175","TRAlpha.01","9642"
"176","ZNF2.01","5632"
"177","ZNF18.01","3485"
